0.23,0.03,8.39
0.28,0.09,8.37
0.12,0.10,8.41
0.17,0.15,8.40
0.25,0.14,8.43
0.26,0.05,8.34
0.28,0.10,8.42
0.21,0.11,8.33
0.21,0.12,8.31
0.19,0.15,8.28
0.20,0.10,8.42
0.21,0.09,8.33
0.24,0.08,8.34
0.24,0.13,8.29
0.24,0.12,8.36
0.24,0.12,8.36
0.28,0.08,8.32
0.24,0.10,8.36
0.28,0.08,8.40
0.27,0.17,8.31
0.21,0.11,8.26
0.23,0.09,8.31
0.26,0.12,8.32
0.32,0.14,8.35
0.26,0.12,8.39
0.20,0.09,8.31
0.28,0.12,8.30
0.21,0.16,8.34
0.27,0.07,8.27
0.27,0.13,8.29
0.21,0.07,8.32
0.23,0.07,8.37
0.19,0.15,8.42
0.20,0.15,8.37
0.25,0.09,8.39
0.25,0.09,8.32
0.24,0.05,8.41
0.24,0.10,8.30
0.27,0.08,8.33
0.28,0.10,8.34
0.24,0.12,8.34
0.26,0.10,8.44
0.27,0.10,8.32
0.24,0.08,8.38
0.28,0.06,8.43
0.26,0.09,8.48
0.21,0.10,8.36
0.23,0.08,8.41
0.22,0.09,8.38
0.21,0.17,8.33
0.28,0.07,8.41
0.20,0.12,8.34
0.23,0.11,8.30
0.24,0.17,8.24
0.25,0.16,8.34
0.22,0.13,8.37
0.25,0.10,8.33
0.20,0.07,8.30
0.24,0.10,8.32
0.24,0.07,8.35
0.29,0.08,8.29
0.23,0.09,8.38
0.24,0.14,8.43
0.20,0.10,8.38
0.22,0.10,8.31
0.30,0.16,8.38
0.27,0.12,8.35
0.26,0.13,8.32
0.22,0.12,8.34
0.22,0.13,8.27
0.28,0.16,8.35
0.27,0.16,8.40
0.21,0.11,8.37
0.26,0.14,8.38
0.22,0.08,8.25
0.30,0.14,8.38
0.26,0.14,8.32
0.22,0.15,8.37
0.31,0.10,8.28
0.28,0.17,8.41
0.24,0.12,8.36
0.33,0.12,8.38
0.25,0.09,8.37
0.17,0.11,8.37
0.27,0.11,8.32
0.23,0.15,8.41
0.21,0.11,8.33
0.26,0.13,8.33
0.23,0.09,8.30
0.28,0.12,8.30
0.18,0.10,8.35
0.26,0.08,8.38
0.24,0.13,8.32
0.23,0.12,8.31
0.27,0.15,8.32
0.26,0.06,8.44
0.27,0.18,8.38
0.18,0.16,8.29
0.29,0.15,8.39
0.25,0.09,8.28
0.21,0.10,8.38
0.28,0.11,8.30
0.29,0.13,8.38
0.23,0.19,8.35
0.22,0.13,8.40
0.26,0.13,8.27
0.23,0.11,8.31
0.30,0.08,8.36
0.30,0.15,8.31
0.17,0.10,8.33
0.22,0.13,8.27
0.23,0.11,8.37
0.26,0.14,8.41
0.21,0.12,8.34
0.20,0.11,8.34
0.25,0.14,8.36
0.23,0.08,8.36
0.27,0.02,8.34
0.24,0.12,8.34
0.19,0.08,8.42
0.24,0.13,8.39
0.24,0.11,8.39
0.27,0.03,8.28
0.26,0.10,8.39
0.23,0.11,8.30
0.29,0.14,8.33
0.22,0.14,8.31
0.23,0.08,8.35
0.19,0.06,8.39
0.26,0.09,8.29
0.22,0.12,8.38
0.21,0.11,8.41
0.25,0.14,8.36
0.27,0.09,8.42
0.28,0.10,8.37
0.27,0.08,8.30
0.30,0.08,8.34
0.22,0.11,8.39
0.26,0.05,8.41
0.27,0.09,8.38
0.22,0.10,8.35
0.19,0.14,8.37
0.28,0.13,8.39
0.23,0.10,8.34
0.24,0.10,8.43
0.25,0.12,8.38
0.20,0.07,8.23
0.19,0.11,8.33
0.26,0.14,8.36
0.22,0.16,8.35
0.17,0.08,8.30
0.25,0.15,8.31
0.19,0.12,8.34
0.24,0.12,8.39
0.23,0.12,8.36
0.23,0.11,8.42
0.26,0.14,8.38
0.24,0.10,8.26
0.22,0.16,8.29
0.26,0.14,8.35
0.26,0.15,8.35
0.30,0.15,8.35
0.25,0.11,8.39
0.22,0.11,8.35
0.17,0.10,8.30
0.20,0.11,8.38
0.23,0.07,8.29
0.24,0.13,8.38
0.24,0.09,8.38
0.27,0.09,8.36
0.20,0.10,8.26
0.24,0.12,8.37
0.29,0.17,8.40
0.26,0.12,8.42
0.24,0.12,8.33
0.21,0.17,8.35
0.19,0.09,8.33
0.27,0.10,8.31
0.20,0.18,8.33
0.23,0.17,8.38
0.26,0.10,8.25
0.29,0.07,8.33
0.23,0.06,8.34
0.26,0.12,8.32
0.22,0.08,8.37
0.27,0.15,8.30
0.22,0.16,8.34
0.22,0.10,8.39
0.26,0.10,8.35
0.23,0.11,8.33
0.21,0.11,8.37
0.24,0.07,8.34
0.20,0.08,8.29
0.26,0.12,8.33
0.23,0.12,8.40
0.29,0.10,8.35
0.28,0.11,8.26
0.29,0.13,8.38
0.23,0.12,8.36
0.18,0.15,8.28
0.26,0.11,8.33
0.27,0.11,8.36
0.24,0.13,8.35
0.28,0.09,8.35
0.24,0.14,8.33
0.34,0.08,8.33
0.27,0.08,8.33
0.24,0.06,8.36
0.27,0.11,8.32
0.24,0.11,8.41
0.22,0.09,8.40
0.29,0.16,8.32
0.24,0.08,8.39
0.23,0.08,8.34
0.27,0.04,8.36
0.26,0.09,8.30
0.28,0.10,8.37
0.26,0.06,8.32
0.27,0.10,8.36
0.25,0.07,8.49
0.26,0.12,8.28
0.24,0.15,8.33
0.21,0.12,8.39
0.24,0.10,8.31
0.27,0.07,8.38
0.23,0.08,8.43
0.34,0.09,8.40
0.25,0.09,8.31
0.23,0.16,8.40
0.25,0.13,8.40
0.22,0.13,8.44
0.22,0.12,8.31
0.25,0.11,8.30
0.25,0.15,8.30
0.22,0.10,8.32
0.22,0.11,8.33
0.24,0.05,8.35
0.25,0.10,8.41
0.29,0.10,8.27
0.28,0.13,8.26
0.19,0.10,8.35
0.21,0.14,8.35
0.28,0.10,8.38
0.28,0.16,8.33
0.26,0.08,8.39
0.33,0.06,8.38
0.25,0.06,8.30
0.24,0.14,8.27
0.14,0.13,8.24
0.25,0.09,8.31
0.25,0.11,8.31
0.17,0.11,8.39
0.23,0.11,8.32
0.34,0.16,8.30
0.24,0.14,8.41
0.26,0.12,8.35
0.16,0.11,8.35
0.22,0.07,8.32
0.28,0.15,8.27
0.25,0.12,8.33
0.26,0.07,8.42
0.25,0.10,8.38
0.28,0.11,8.26
0.29,0.12,8.37
0.28,0.15,8.33
0.22,0.10,8.36
0.28,0.15,8.41
0.28,0.11,8.38
0.19,0.04,8.32
0.26,0.13,8.32
0.24,0.08,8.30
0.29,0.13,8.35
0.25,0.14,8.33
0.28,0.10,8.35
0.24,0.09,8.35
0.27,0.12,8.33
0.20,0.11,8.35
0.21,0.11,8.32
0.21,0.11,8.50
0.31,0.15,8.39
0.24,0.13,8.36
0.25,0.15,8.33
0.25,0.11,8.32
0.21,0.08,8.37
0.28,0.15,8.29
0.28,0.10,8.45
0.27,0.11,8.31
0.23,0.14,8.34
0.24,0.11,8.38
0.27,0.08,8.35
0.19,0.10,8.37
0.18,0.13,8.31
0.17,0.08,8.36
0.23,0.15,8.35
0.29,0.12,8.35
0.28,0.06,8.38
0.20,0.11,8.37
0.18,0.11,8.36
0.27,0.08,8.43
0.21,0.10,8.39
0.22,0.08,8.34
0.26,0.08,8.39
